ID,Name,TWA,TWA New Level
106,Struts: Plug-in Framework not in Use,Extrinsic-I,??
107,Struts: Unused Validation Form,??,??
108,Struts: Unvalidated Action Form,Extrinsic-M or Extrinsic-U,??
109,Struts: Validator Turned Off,Extrinsic-M or Extrinsic-U,??
110,Struts: Validator Without Form Field,??,??
111,Direct Use of Unsafe JNI,Extrinsic-M or Extrinsic-U,??
112,Missing XML Validation,Extrinsic-I,??
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),Extrinsic-M or Extrinsic-U,??
114,Process Control,Extrinsic-M or Extrinsic-U,??
115,Misinterpretation of Input,Extrinsic-I,??
116,Improper Encoding or Escaping of Output,Extrinsic-M or Extrinsic-U,Low
117,Improper Output Neutralization for Logs,Extrinsic-M or Extrinsic-U,Medium
118,Incorrect Access of Indexable Resource ('Range Error'),??,??
119,Improper Restriction of Operations within the Bounds of a Memory Buffer,Extrinsic-M or Extrinsic-U,Low
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Extrinsic-M or Extrinsic-U,Low
121,Stack-based Buffer Overflow,Extrinsic-M or Extrinsic-U,Low
122,Heap-based Buffer Overflow,Extrinsic-M or Extrinsic-U,Low
123,Write-what-where Condition,Extrinsic-M or Extrinsic-U,Low
124,Buffer Underwrite ('Buffer Underflow'),Extrinsic-M or Extrinsic-U,Medium
125,Out-of-bounds Read,Extrinsic-C,??
126,Buffer Over-read,Extrinsic-C,??
127,Buffer Under-read,Extrinsic-C,??
128,Wrap-around Error,Extrinsic-M or Extrinsic-U,Medium
129,Improper Validation of Array Index,Extrinsic-M or Extrinsic-U,Low
130,Improper Handling of Length Parameter Inconsistency,"Extrinsic-C,Extrinsic-I",??
131,Incorrect Calculation of Buffer Size,Extrinsic-M or Extrinsic-U,Low
132,DEPRECATED (Duplicate): Miscalculated Null Termination,??,??
134,Use of Externally-Controlled Format String,Extrinsic-M or Extrinsic-U,Low
135,Incorrect Calculation of Multi-Byte String Length,Extrinsic-M or Extrinsic-U,??
138,Improper Neutralization of Special Elements,Extrinsic-QI,??
140,Improper Neutralization of Delimiters,Extrinsic-I,??
141,Improper Neutralization of Parameter/Argument Delimiters,Extrinsic-I,??
142,Improper Neutralization of Value Delimiters,Extrinsic-I,??
143,Improper Neutralization of Record Delimiters,Extrinsic-I,??
144,Improper Neutralization of Line Delimiters,Extrinsic-I,??
145,Improper Neutralization of Section Delimiters,Extrinsic-I,??
146,Improper Neutralization of Expression/Command Delimiters,Extrinsic-M or Extrinsic-U,??
147,Improper Neutralization of Input Terminators,Extrinsic-I,??
148,Improper Neutralization of Input Leaders,Extrinsic-I,??
149,Improper Neutralization of Quoting Syntax,Extrinsic-I,??
150,"Improper Neutralization of Escape, Meta, or Control Sequences",Extrinsic-I,??
151,Improper Neutralization of Comment Delimiters,Extrinsic-I,??
152,Improper Neutralization of Macro Symbols,Extrinsic-I,??
153,Improper Neutralization of Substitution Characters,Extrinsic-I,??
154,Improper Neutralization of Variable Name Delimiters,Extrinsic-I,??
155,Improper Neutralization of Wildcards or Matching Symbols,Extrinsic-I,??
156,Improper Neutralization of Whitespace,Extrinsic-I,??
157,Failure to Sanitize Paired Delimiters,Extrinsic-I,??
158,Improper Neutralization of Null Byte or NUL Character,Extrinsic-I,??
159,Improper Handling of Invalid Use of Special Elements,Extrinsic-I,??
160,Improper Neutralization of Leading Special Elements,Extrinsic-I,??
161,Improper Neutralization of Multiple Leading Special Elements,Extrinsic-I,??
162,Improper Neutralization of Trailing Special Elements,Extrinsic-I,??
163,Improper Neutralization of Multiple Trailing Special Elements,Extrinsic-I,??
164,Improper Neutralization of Internal Special Elements,Extrinsic-I,??
165,Improper Neutralization of Multiple Internal Special Elements,Extrinsic-I,??
166,Improper Handling of Missing Special Element,Extrinsic-A or Extrinsic-O,??
167,Improper Handling of Additional Special Element,Extrinsic-I,??
168,Improper Handling of Inconsistent Special Elements,Extrinsic-M or Extrinsic-U,??
170,Improper Null Termination,Extrinsic-M or Extrinsic-U,Medium
172,Encoding Error,Extrinsic-I,??
173,Improper Handling of Alternate Encoding,Extrinsic-M or Extrinsic-U,??
174,Double Decoding of the Same Data,Extrinsic-M or Extrinsic-U,??
175,Improper Handling of Mixed Encoding,Extrinsic-I,??
176,Improper Handling of Unicode Encoding,Extrinsic-I,??
177,Improper Handling of URL Encoding (Hex Encoding),Extrinsic-I,??
178,Improper Handling of Case Sensitivity,Extrinsic-M or Extrinsic-U,??
179,Incorrect Behavior Order: Early Validation,Extrinsic-M or Extrinsic-U,??
180,Incorrect Behavior Order: Validate Before Canonicalize,Extrinsic-M or Extrinsic-U,??
181,Incorrect Behavior Order: Validate Before Filter,Extrinsic-M or Extrinsic-U,??
182,Collapse of Data into Unsafe Value,Extrinsic-M or Extrinsic-U,??
183,Permissive List of Allowed Inputs,Extrinsic-M or Extrinsic-U,??
184,Incomplete List of Disallowed Inputs,Extrinsic-M or Extrinsic-U,??
185,Incorrect Regular Expression,Extrinsic-M or Extrinsic-U,??
186,Overly Restrictive Regular Expression,Extrinsic-M or Extrinsic-U,??
187,Partial String Comparison,Extrinsic-M or Extrinsic-U,??
188,Reliance on Data/Memory Layout,"Extrinsic-C,Extrinsic-I",High
190,Integer Overflow or Wraparound,Extrinsic-M or Extrinsic-U,Medium
191,Integer Underflow (Wrap or Wraparound),Extrinsic-M or Extrinsic-U,??
192,Integer Coercion Error,Extrinsic-M or Extrinsic-U,Medium
193,Off-by-one Error,Extrinsic-M or Extrinsic-U,??
194,Unexpected Sign Extension,Extrinsic-M or Extrinsic-U,Low
195,Signed to Unsigned Conversion Error,Extrinsic-I,??
196,Unsigned to Signed Conversion Error,Extrinsic-M or Extrinsic-U,Medium
197,Numeric Truncation Error,Extrinsic-I,High
198,Use of Incorrect Byte Ordering,Extrinsic-I,??
200,Exposure of Sensitive Information to an Unauthorized Actor,Extrinsic-C,Low
201,Insertion of Sensitive Information Into Sent Data,Extrinsic-C,??
202,Exposure of Sensitive Information Through Data Queries,Extrinsic-C,Medium
203,Observable Discrepancy,Extrinsic-M or Extrinsic-U,??
204,Observable Response Discrepancy,Extrinsic-M or Extrinsic-U,??
205,Observable Behavioral Discrepancy,Extrinsic-M or Extrinsic-U,??
206,Observable Internal Behavioral Discrepancy,Extrinsic-M or Extrinsic-U,??
207,Observable Behavioral Discrepancy With Equivalent Products,Extrinsic-M or Extrinsic-U,??
208,Observable Timing Discrepancy,Extrinsic-M or Extrinsic-U,??
209,Generation of Error Message Containing Sensitive Information,Extrinsic-C,Low
210,Self-generated Error Message Containing Sensitive Information,Extrinsic-C,??
211,Externally-Generated Error Message Containing Sensitive Information,Extrinsic-C,??
212,Improper Removal of Sensitive Information Before Storage or Transfer,Extrinsic-C,??
213,Exposure of Sensitive Information Due to Incompatible Policies,Extrinsic-C,??
214,Invocation of Process Using Visible Sensitive Information,Extrinsic-C,??
215,Insertion of Sensitive Information Into Debugging Code,Extrinsic-C,??
216,DEPRECATED: Containment Errors (Container Errors),??,??
217,DEPRECATED: Failure to Protect Stored Data from Modification,??,??
218,DEPRECATED (Duplicate): Failure to provide confidentiality for stored data,??,??
219,Storage of File with Sensitive Data Under Web Root,Extrinsic-C,??
220,Storage of File With Sensitive Data Under FTP Root,Extrinsic-C,??
221,Information Loss or Omission,??,??
222,Truncation of Security-relevant Information,??,??
223,Omission of Security-relevant Information,??,??
224,Obscured Security-relevant Information by Alternate Name,Extrinsic-M or Extrinsic-U,??
225,DEPRECATED (Duplicate): General Information Management Problems,??,??
226,Sensitive Information in Resource Not Removed Before Reuse,Extrinsic-C,??
228,Improper Handling of Syntactically Invalid Structure,"Extrinsic-I,Extrinsic-A or Extrinsic-O",??
229,Improper Handling of Values,Extrinsic-I,??
230,Improper Handling of Missing Values,Extrinsic-I,??
231,Improper Handling of Extra Values,Extrinsic-I,??
232,Improper Handling of Undefined Values,Extrinsic-I,??
233,Improper Handling of Parameters,Extrinsic-I,??
234,Failure to Handle Missing Parameter,Extrinsic-M or Extrinsic-U,Low
235,Improper Handling of Extra Parameters,Extrinsic-I,??
236,Improper Handling of Undefined Parameters,Extrinsic-I,??
237,Improper Handling of Structural Elements,Extrinsic-I,??
238,Improper Handling of Incomplete Structural Elements,Extrinsic-I,??
239,Failure to Handle Incomplete Element,Extrinsic-I,??
240,Improper Handling of Inconsistent Structural Elements,Extrinsic-I,??
241,Improper Handling of Unexpected Data Type,Extrinsic-I,??
242,Use of Inherently Dangerous Function,??,??
243,Creation of chroot Jail Without Changing Working Directory,Extrinsic-C,Low
244,Improper Clearing of Heap Memory Before Release ('Heap Inspection'),Extrinsic-C,??
245,J2EE Bad Practices: Direct Management of Connections,??,??
246,J2EE Bad Practices: Direct Use of Sockets,??,??
247,DEPRECATED (Duplicate): Reliance on DNS Lookups in a Security Decision,??,??
248,Uncaught Exception,"Extrinsic-C,Extrinsic-A or Extrinsic-O",??
249,DEPRECATED: Often Misused: Path Manipulation,??,??
250,Execution with Unnecessary Privileges,Extrinsic-M or Extrinsic-U,Medium
252,Unchecked Return Value,"Extrinsic-I,Extrinsic-A or Extrinsic-O",High
253,Incorrect Check of Function Return Value,"Extrinsic-I,Extrinsic-A or Extrinsic-O",High
256,Unprotected Storage of Credentials,Extrinsic-M or Extrinsic-U,Low
257,Storing Passwords in a Recoverable Format,Extrinsic-M or Extrinsic-U,Low
258,Empty Password in Configuration File,Extrinsic-M or Extrinsic-U,Low
259,Use of Hard-coded Password,Extrinsic-M or Extrinsic-U,Low
260,Password in Configuration File,Extrinsic-M or Extrinsic-U,??
261,Weak Encoding for Password,Extrinsic-M or Extrinsic-U,??
262,Not Using Password Aging,Extrinsic-M or Extrinsic-U,High
263,Password Aging with Long Expiration,Extrinsic-M or Extrinsic-U,High
266,Incorrect Privilege Assignment,Extrinsic-M or Extrinsic-U,??
267,Privilege Defined With Unsafe Actions,Extrinsic-M or Extrinsic-U,??
268,Privilege Chaining,Extrinsic-M or Extrinsic-U,Low
269,Improper Privilege Management,Extrinsic-M or Extrinsic-U,Medium
270,Privilege Context Switching Error,Extrinsic-M or Extrinsic-U,??
271,Privilege Dropping / Lowering Errors,Extrinsic-M or Extrinsic-U,Low
272,Least Privilege Violation,Extrinsic-M or Extrinsic-U,??
273,Improper Check for Dropped Privileges,Extrinsic-M or Extrinsic-U,Medium
274,Improper Handling of Insufficient Privileges,??,??
276,Incorrect Default Permissions,"Extrinsic-C,Extrinsic-I",Medium
277,Insecure Inherited Permissions,"Extrinsic-C,Extrinsic-I",??
278,Insecure Preserved Inherited Permissions,"Extrinsic-C,Extrinsic-I",??
279,Incorrect Execution-Assigned Permissions,"Extrinsic-C,Extrinsic-I",??
280,Improper Handling of Insufficient Permissions or Privileges ,??,??
281,Improper Preservation of Permissions,"Extrinsic-C,Extrinsic-I",??
282,Improper Ownership Management,Extrinsic-M or Extrinsic-U,??
283,Unverified Ownership,Extrinsic-M or Extrinsic-U,??
284,Improper Access Control,??,??
285,Improper Authorization,Extrinsic-M or Extrinsic-U,Low
286,Incorrect User Management,??,??
287,Improper Authentication,Extrinsic-M or Extrinsic-U,Low
288,Authentication Bypass Using an Alternate Path or Channel,Extrinsic-M or Extrinsic-U,??
289,Authentication Bypass by Alternate Name,Extrinsic-M or Extrinsic-U,??
290,Authentication Bypass by Spoofing,Extrinsic-M or Extrinsic-U,??
291,Reliance on IP Address for Authentication,Extrinsic-M or Extrinsic-U,Low
292,DEPRECATED (Duplicate): Trusting Self-reported DNS Name,??,??
293,Using Referer Field for Authentication,Extrinsic-M or Extrinsic-U,Low
294,Authentication Bypass by Capture-replay,Extrinsic-M or Extrinsic-U,Low
295,Improper Certificate Validation,Extrinsic-I,??
296,Improper Following of a Certificate's Chain of Trust,Extrinsic-M or Extrinsic-U,High
297,Improper Validation of Certificate with Host Mismatch,Extrinsic-M or Extrinsic-U,Low
298,Improper Validation of Certificate Expiration,Extrinsic-I,High
299,Improper Check for Certificate Revocation,Extrinsic-M or Extrinsic-U,Medium
300,Channel Accessible by Non-Endpoint,Extrinsic-M or Extrinsic-U,??
301,Reflection Attack in an Authentication Protocol,Extrinsic-M or Extrinsic-U,Medium
302,Authentication Bypass by Assumed-Immutable Data,Extrinsic-M or Extrinsic-U,??
303,Incorrect Implementation of Authentication Algorithm,Extrinsic-M or Extrinsic-U,??
304,Missing Critical Step in Authentication,Extrinsic-M or Extrinsic-U,??
305,Authentication Bypass by Primary Weakness,Extrinsic-M or Extrinsic-U,??
306,Missing Authentication for Critical Function,Extrinsic-M or Extrinsic-U,Low
307,Improper Restriction of Excessive Authentication Attempts,Extrinsic-M or Extrinsic-U,??
308,Use of Single-factor Authentication,Extrinsic-M or Extrinsic-U,Low
309,Use of Password System for Primary Authentication,Extrinsic-M or Extrinsic-U,Low
311,Missing Encryption of Sensitive Data,"Extrinsic-C,Extrinsic-I",Low
312,Cleartext Storage of Sensitive Information,Extrinsic-C,??
313,Cleartext Storage in a File or on Disk,Extrinsic-C,??
314,Cleartext Storage in the Registry,Extrinsic-C,??
315,Cleartext Storage of Sensitive Information in a Cookie,Extrinsic-C,??
316,Cleartext Storage of Sensitive Information in Memory,Extrinsic-C,??
317,Cleartext Storage of Sensitive Information in GUI,Extrinsic-C,??
318,Cleartext Storage of Sensitive Information in Executable,Extrinsic-C,??
319,Cleartext Transmission of Sensitive Information,"Extrinsic-C,Extrinsic-I",Low
321,Use of Hard-coded Cryptographic Key,Extrinsic-M or Extrinsic-U,Low
322,Key Exchange without Entity Authentication,Extrinsic-M or Extrinsic-U,Low
323,"Reusing a Nonce, Key Pair in Encryption",Extrinsic-M or Extrinsic-U,Low
324,Use of a Key Past its Expiration Date,Extrinsic-M or Extrinsic-U,High
325,Missing Cryptographic Step,Extrinsic-M or Extrinsic-U,??
326,Inadequate Encryption Strength,Extrinsic-M or Extrinsic-U,??
327,Use of a Broken or Risky Cryptographic Algorithm,"Extrinsic-C,Extrinsic-I",Low
328,Reversible One-Way Hash,Extrinsic-M or Extrinsic-U,??
329,Not Using an Unpredictable IV with CBC Mode,Extrinsic-C,Medium
330,Use of Insufficiently Random Values,Extrinsic-M or Extrinsic-U,Low
331,Insufficient Entropy,Extrinsic-M or Extrinsic-U,??
332,Insufficient Entropy in PRNG,Extrinsic-M or Extrinsic-U,Medium
333,Improper Handling of Insufficient Entropy in TRNG,Extrinsic-A or Extrinsic-O,High
334,Small Space of Random Values,Extrinsic-M or Extrinsic-U,??
335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),Extrinsic-M or Extrinsic-U,??
336,Same Seed in Pseudo-Random Number Generator (PRNG),Extrinsic-M or Extrinsic-U,??
337,Predictable Seed in Pseudo-Random Number Generator (PRNG),??,??
338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),Extrinsic-M or Extrinsic-U,Medium
339,Small Seed Space in PRNG,??,??
340,Generation of Predictable Numbers or Identifiers,??,??
341,Predictable from Observable State,??,??
342,Predictable Exact Value from Previous Values,??,??
343,Predictable Value Range from Previous Values,??,??
344,Use of Invariant Value in Dynamically Changing Context,??,??
345,Insufficient Verification of Data Authenticity,Extrinsic-I,??
346,Origin Validation Error,Extrinsic-M or Extrinsic-U,??
347,Improper Verification of Cryptographic Signature,Extrinsic-M or Extrinsic-U,??
348,Use of Less Trusted Source,Extrinsic-M or Extrinsic-U,??
349,Acceptance of Extraneous Untrusted Data With Trusted Data,Extrinsic-M or Extrinsic-U,??
350,Reliance on Reverse DNS Resolution for a Security-Critical Action,Extrinsic-M or Extrinsic-U,??
351,Insufficient Type Distinction,??,??
352,Cross-Site Request Forgery (CSRF),Extrinsic-XS,Medium
353,Missing Support for Integrity Check,Extrinsic-I,Medium
354,Improper Validation of Integrity Check Value,Extrinsic-I,Medium
356,Product UI does not Warn User of Unsafe Actions,??,??
357,Insufficient UI Warning of Dangerous Operations,??,??
358,Improperly Implemented Security Check for Standard,Extrinsic-M or Extrinsic-U,??
359,Exposure of Private Personal Information to an Unauthorized Actor,Extrinsic-C,??
360,Trust of System Event Data,Extrinsic-M or Extrinsic-U,Low
362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Extrinsic-M or Extrinsic-U,Medium
363,Race Condition Enabling Link Following,"Extrinsic-C,Extrinsic-I",??
364,Signal Handler Race Condition,Extrinsic-M or Extrinsic-U,Medium
365,Race Condition in Switch,Extrinsic-I,Medium
366,Race Condition within a Thread,Extrinsic-I,Medium
367,Time-of-check Time-of-use (TOCTOU) Race Condition,Extrinsic-I,Medium
368,Context Switching Race Condition,"Extrinsic-C,Extrinsic-I",??
369,Divide By Zero,Extrinsic-A or Extrinsic-O,Medium
370,Missing Check for Certificate Revocation after Initial Check,Extrinsic-M or Extrinsic-U,Medium
372,Incomplete Internal State Distinction,Extrinsic-I,??
373,DEPRECATED: State Synchronization Error,??,??
374,Passing Mutable Objects to an Untrusted Method,Extrinsic-I,Medium
375,Returning a Mutable Object to an Untrusted Caller,Extrinsic-M or Extrinsic-U,Medium
377,Insecure Temporary File,"Extrinsic-C,Extrinsic-I",??
378,Creation of Temporary File With Insecure Permissions,"Extrinsic-C,Extrinsic-I",Low
379,Creation of Temporary File in Directory with Insecure Permissions,Extrinsic-C,High
382,J2EE Bad Practices: Use of System.exit(),Extrinsic-A or Extrinsic-O,??
383,J2EE Bad Practices: Direct Use of Threads,??,??
384,Session Fixation,Extrinsic-M or Extrinsic-U,??
385,Covert Timing Channel,Extrinsic-C,Medium
386,Symbolic Name not Mapping to Correct Object,Extrinsic-M or Extrinsic-U,??
390,Detection of Error Condition Without Action,Extrinsic-I,Medium
391,Unchecked Error Condition,Extrinsic-I,Medium
392,Missing Report of Error Condition,Extrinsic-I,??
393,Return of Wrong Status Code,Extrinsic-I,??
394,Unexpected Status Code or Return Value,Extrinsic-I,??
395,Use of NullPointerException Catch to Detect NULL Pointer Dereference,Extrinsic-A or Extrinsic-O,??
396,Declaration of Catch for Generic Exception,??,??
397,Declaration of Throws for Generic Exception,??,??
400,Uncontrolled Resource Consumption,Extrinsic-M or Extrinsic-U,Low
401,Missing Release of Memory after Effective Lifetime,Extrinsic-A or Extrinsic-O,Medium
402,Transmission of Private Resources into a New Sphere ('Resource Leak'),Extrinsic-C,??
403,Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak'),"Extrinsic-C,Extrinsic-I",??
404,Improper Resource Shutdown or Release,"Extrinsic-C,Extrinsic-A or Extrinsic-O",Medium
405,Asymmetric Resource Consumption (Amplification),Extrinsic-A or Extrinsic-O,??
406,Insufficient Control of Network Message Volume (Network Amplification),Extrinsic-A or Extrinsic-O,??
407,Inefficient Algorithmic Complexity,Extrinsic-A or Extrinsic-O,High
408,Incorrect Behavior Order: Early Amplification,Extrinsic-A or Extrinsic-O,??
409,Improper Handling of Highly Compressed Data (Data Amplification),Extrinsic-A or Extrinsic-O,??
410,Insufficient Resource Pool,"Extrinsic-I,Extrinsic-A or Extrinsic-O",??
412,Unrestricted Externally Accessible Lock,Extrinsic-A or Extrinsic-O,??
413,Improper Resource Locking,"Extrinsic-I,Extrinsic-A or Extrinsic-O",??
414,Missing Lock Check,"Extrinsic-I,Extrinsic-A or Extrinsic-O",??
415,Double Free,Extrinsic-M or Extrinsic-U,Low
416,Use After Free,Extrinsic-M or Extrinsic-U,Low
419,Unprotected Primary Channel,Extrinsic-M or Extrinsic-U,??
420,Unprotected Alternate Channel,Extrinsic-M or Extrinsic-U,??
421,Race Condition During Access to Alternate Channel,Extrinsic-M or Extrinsic-U,??
422,Unprotected Windows Messaging Channel ('Shatter'),Extrinsic-M or Extrinsic-U,??
423,DEPRECATED (Duplicate): Proxied Trusted Channel,??,??
424,Improper Protection of Alternate Path,Extrinsic-M or Extrinsic-U,??
425,Direct Request ('Forced Browsing'),Extrinsic-M or Extrinsic-U,??
426,Untrusted Search Path,Extrinsic-M or Extrinsic-U,Low
427,Uncontrolled Search Path Element,Extrinsic-M or Extrinsic-U,??
428,Unquoted Search Path or Element,Extrinsic-M or Extrinsic-U,??
430,Deployment of Wrong Handler,Extrinsic-I,??
431,Missing Handler,??,??
432,Dangerous Signal Handler not Disabled During Sensitive Operations,Extrinsic-I,??
433,Unparsed Raw Web Content Delivery,Extrinsic-C,??
